ID TIME DONE
# Manager.Done #1
180 1000.04 1.0
# Manager.Done #181
181 0.0 0.0
181 9.77679 0.0
181 9.77679 0.0
181 9.95233 1.0
181 9.95233 1.0
181 1000.3 1.0
# Manager.Done #182
182 0.0 0.0
182 16.9753 0.0
182 16.9753 0.0
182 17.6544 1.0
182 17.6544 1.0
182 1000.02 1.0
# Manager.Done #183
183 0.0 0.0
183 6.49792 0.0
183 6.49792 0.0
183 6.80795 1.0
183 6.80795 1.0
183 1000.47 1.0
# Manager.Done #184
184 0.0 0.0
184 57.1187 0.0
184 57.1187 0.0
184 57.6881 1.0
184 57.6881 1.0
184 1000.35 1.0
# Manager.Done #185
185 0.0 0.0
185 15.8334 0.0
185 15.8334 0.0
185 16.1442 1.0
185 16.1442 1.0
185 1000.4 1.0
# Manager.Done #186
186 0.0 0.0
186 25.0744 0.0
186 25.0744 0.0
186 25.7524 1.0
186 25.7524 1.0
186 1000.28 1.0
# Manager.Done #187
187 0.0 0.0
187 66.3434 0.0
